Record Id,Category
LEX-FAOC001069,supply_side
LEX-FAOC001401,supply_side
LEX-FAOC001406,supply_side
LEX-FAOC001418,unclear
LEX-FAOC001419,supply_side
LEX-FAOC001428,demand_side
LEX-FAOC001464,unclear
LEX-FAOC001623,unclear
LEX-FAOC001746,supply_side
LEX-FAOC001855,supply_side
LEX-FAOC001890,supply_side
LEX-FAOC001891,demand_side
LEX-FAOC001961,supply_side
LEX-FAOC002577,supply_side
LEX-FAOC002578,supply_side
LEX-FAOC002580,supply_side
LEX-FAOC002581,supply_side
LEX-FAOC002582,unclear
LEX-FAOC002584,demand_side
LEX-FAOC002590,demand_side
LEX-FAOC002592,supply_side
LEX-FAOC002593,supply_side
LEX-FAOC002594,unclear
LEX-FAOC002596,supply_side
LEX-FAOC002603,supply_side
LEX-FAOC002604,supply_side
LEX-FAOC002606,supply_side
LEX-FAOC002616,demand_side
LEX-FAOC002620,demand_side
LEX-FAOC002622,demand_side
LEX-FAOC002626,supply_side
LEX-FAOC002640,supply_side
LEX-FAOC002651,demand_side
LEX-FAOC002663,demand_side
LEX-FAOC002665,unclear
LEX-FAOC002666,supply_side
LEX-FAOC002667,demand_side
LEX-FAOC002668,supply_side
LEX-FAOC002669,demand_side
LEX-FAOC002670,demand_side
LEX-FAOC002671,unclear
LEX-FAOC002672,supply_side
LEX-FAOC002674,unclear
LEX-FAOC002675,demand_side
LEX-FAOC002676,supply_side
LEX-FAOC002679,demand_side
LEX-FAOC002681,unclear
LEX-FAOC002686,demand_side
LEX-FAOC002689,demand_side
LEX-FAOC002692,supply_side
LEX-FAOC002699,supply_side
LEX-FAOC002700,supply_side
LEX-FAOC002701,supply_side
LEX-FAOC002702,supply_side
LEX-FAOC002703,supply_side
LEX-FAOC002705,unclear
LEX-FAOC002714,supply_side
LEX-FAOC002719,supply_side
LEX-FAOC002720,supply_side
LEX-FAOC002722,supply_side
LEX-FAOC002724,demand_side
LEX-FAOC002725,unclear
LEX-FAOC002944,supply_side
LEX-FAOC002954,supply_side
LEX-FAOC002972,supply_side
LEX-FAOC003086,supply_side
LEX-FAOC003090,demand_side
LEX-FAOC003106,supply_side
LEX-FAOC003135,demand_side
LEX-FAOC003136,demand_side
LEX-FAOC003139,supply_side
LEX-FAOC003141,supply_side
LEX-FAOC003147,supply_side
LEX-FAOC003158,demand_side
LEX-FAOC003162,supply_side
LEX-FAOC003224,supply_side
LEX-FAOC003268,supply_side
LEX-FAOC003288,supply_side
LEX-FAOC003297,supply_side
LEX-FAOC003342,unclear
LEX-FAOC003343,supply_side
LEX-FAOC003351,demand_side
LEX-FAOC003396,demand_side
LEX-FAOC003403,supply_side
LEX-FAOC003429,supply_side
LEX-FAOC003491,supply_side
LEX-FAOC003527,demand_side
LEX-FAOC003544,supply_side
LEX-FAOC003573,supply_side
LEX-FAOC003574,supply_side
LEX-FAOC003615,supply_side
LEX-FAOC003669,unclear
LEX-FAOC003671,supply_side
LEX-FAOC003691,unclear
LEX-FAOC003693,unclear
LEX-FAOC003700,demand_side
LEX-FAOC003701,demand_side
LEX-FAOC003703,supply_side
LEX-FAOC003704,unclear
LEX-FAOC003713,supply_side
LEX-FAOC003717,unclear
LEX-FAOC003718,unclear
LEX-FAOC003720,supply_side
LEX-FAOC003751,supply_side
LEX-FAOC003766,supply_side
LEX-FAOC003767,supply_side
LEX-FAOC003789,supply_side
LEX-FAOC003792,supply_side
LEX-FAOC003803,demand_side
LEX-FAOC003804,unclear
LEX-FAOC003806,unclear
LEX-FAOC003807,supply_side
LEX-FAOC003811,unclear
LEX-FAOC003813,demand_side
LEX-FAOC003823,supply_side
LEX-FAOC003826,unclear
LEX-FAOC003828,supply_side
LEX-FAOC003830,supply_side
LEX-FAOC003831,supply_side
LEX-FAOC003882,demand_side
LEX-FAOC003885,demand_side
LEX-FAOC003932,supply_side
LEX-FAOC003983,supply_side
LEX-FAOC003991,demand_side
LEX-FAOC003999,demand_side
LEX-FAOC004065,supply_side
LEX-FAOC004083,unclear
LEX-FAOC004085,supply_side
LEX-FAOC004087,supply_side
LEX-FAOC004159,supply_side
LEX-FAOC004161,supply_side
LEX-FAOC004268,unclear
LEX-FAOC004273,supply_side
LEX-FAOC004309,supply_side
LEX-FAOC004338,supply_side
LEX-FAOC004351,supply_side
LEX-FAOC004375,supply_side
LEX-FAOC004385,supply_side
LEX-FAOC004413,supply_side
LEX-FAOC004420,supply_side
LEX-FAOC004424,supply_side
LEX-FAOC004443,supply_side
LEX-FAOC004454,supply_side
LEX-FAOC004580,supply_side
LEX-FAOC004595,supply_side
LEX-FAOC004653,supply_side
LEX-FAOC004688,supply_side
LEX-FAOC004689,supply_side
LEX-FAOC004692,supply_side
LEX-FAOC004718,supply_side
LEX-FAOC004840,supply_side
LEX-FAOC004841,supply_side
LEX-FAOC004842,supply_side
LEX-FAOC004843,supply_side
LEX-FAOC004871,supply_side
LEX-FAOC004937,supply_side
LEX-FAOC004956,demand_side
LEX-FAOC005034,supply_side
LEX-FAOC005035,demand_side
LEX-FAOC005037,demand_side
LEX-FAOC005050,supply_side
LEX-FAOC005210,unclear
LEX-FAOC005265,supply_side
LEX-FAOC005268,supply_side
LEX-FAOC005271,supply_side
LEX-FAOC005279,supply_side
LEX-FAOC005281,supply_side
LEX-FAOC005299,unclear
LEX-FAOC005305,supply_side
LEX-FAOC005307,supply_side
LEX-FAOC005309,supply_side
LEX-FAOC005332,supply_side
LEX-FAOC005333,supply_side
LEX-FAOC005335,supply_side
LEX-FAOC005342,demand_side
LEX-FAOC005363,supply_side
LEX-FAOC005377,demand_side
LEX-FAOC005380,supply_side
LEX-FAOC005400,unclear
LEX-FAOC005401,unclear
LEX-FAOC005402,demand_side
LEX-FAOC005403,supply_side
LEX-FAOC005433,supply_side
LEX-FAOC005435,supply_side
LEX-FAOC005436,supply_side
LEX-FAOC005443,supply_side
LEX-FAOC005465,unclear
LEX-FAOC005532,unclear
LEX-FAOC005555,supply_side
LEX-FAOC005556,supply_side
LEX-FAOC005557,supply_side
LEX-FAOC005567,supply_side
LEX-FAOC005578,supply_side
LEX-FAOC005670,supply_side
LEX-FAOC005679,supply_side
LEX-FAOC005762,demand_side
LEX-FAOC005779,demand_side
LEX-FAOC005830,supply_side
LEX-FAOC005844,supply_side
LEX-FAOC005845,supply_side
LEX-FAOC005848,supply_side
LEX-FAOC005853,supply_side
LEX-FAOC005854,supply_side
LEX-FAOC005855,supply_side
LEX-FAOC005869,unclear
LEX-FAOC005878,supply_side
LEX-FAOC005894,unclear
LEX-FAOC005895,unclear
LEX-FAOC005896,supply_side
LEX-FAOC005945,demand_side
LEX-FAOC005962,supply_side
LEX-FAOC005963,supply_side
LEX-FAOC005964,unclear
LEX-FAOC005970,supply_side
LEX-FAOC005971,supply_side
LEX-FAOC005972,supply_side
LEX-FAOC005973,supply_side
LEX-FAOC005975,supply_side
LEX-FAOC006173,supply_side
LEX-FAOC006193,demand_side
LEX-FAOC006330,supply_side
LEX-FAOC006331,supply_side
LEX-FAOC006332,supply_side
LEX-FAOC006383,supply_side
LEX-FAOC006401,supply_side
LEX-FAOC006407,unclear
LEX-FAOC006416,demand_side
LEX-FAOC006480,supply_side
LEX-FAOC006495,supply_side
LEX-FAOC006558,supply_side
LEX-FAOC006612,supply_side
LEX-FAOC006656,supply_side
LEX-FAOC006664,demand_side
LEX-FAOC006668,unclear
LEX-FAOC006719,supply_side
LEX-FAOC006721,supply_side
LEX-FAOC006724,supply_side
LEX-FAOC006725,supply_side
LEX-FAOC006726,supply_side
LEX-FAOC006732,unclear
LEX-FAOC006733,demand_side
LEX-FAOC006747,supply_side
LEX-FAOC006750,supply_side
LEX-FAOC006756,supply_side
LEX-FAOC006760,supply_side
LEX-FAOC006762,supply_side
LEX-FAOC006764,demand_side
LEX-FAOC006765,supply_side
LEX-FAOC006769,supply_side
LEX-FAOC006771,demand_side
LEX-FAOC006773,demand_side
LEX-FAOC006774,supply_side
LEX-FAOC006775,supply_side
LEX-FAOC006776,unclear
LEX-FAOC006777,demand_side
LEX-FAOC006780,supply_side
LEX-FAOC006788,supply_side
LEX-FAOC006789,supply_side
LEX-FAOC006790,supply_side
LEX-FAOC006791,supply_side
LEX-FAOC006792,supply_side
LEX-FAOC006793,supply_side
LEX-FAOC006794,supply_side
LEX-FAOC006796,supply_side
LEX-FAOC006808,supply_side
LEX-FAOC006831,supply_side
LEX-FAOC006863,supply_side
LEX-FAOC006911,demand_side
LEX-FAOC006934,supply_side
LEX-FAOC006955,supply_side
LEX-FAOC006956,demand_side
LEX-FAOC006957,demand_side
LEX-FAOC006968,demand_side
LEX-FAOC006976,supply_side
LEX-FAOC006977,supply_side
LEX-FAOC007002,unclear
LEX-FAOC007008,supply_side
LEX-FAOC007014,demand_side
LEX-FAOC007016,demand_side
LEX-FAOC007022,unclear
LEX-FAOC007027,unclear
LEX-FAOC007032,supply_side
LEX-FAOC007033,supply_side
LEX-FAOC007034,supply_side
LEX-FAOC007035,supply_side
LEX-FAOC007036,supply_side
LEX-FAOC007037,supply_side
LEX-FAOC007038,supply_side
LEX-FAOC007041,demand_side
LEX-FAOC007043,supply_side
LEX-FAOC007044,supply_side
LEX-FAOC007045,supply_side
LEX-FAOC007052,demand_side
LEX-FAOC007054,unclear
LEX-FAOC007056,demand_side
LEX-FAOC007058,demand_side
LEX-FAOC007062,unclear
LEX-FAOC007063,demand_side
LEX-FAOC007067,supply_side
LEX-FAOC007070,supply_side
LEX-FAOC007080,demand_side
LEX-FAOC007112,unclear
LEX-FAOC007114,supply_side
LEX-FAOC007116,unclear
LEX-FAOC007117,supply_side
LEX-FAOC007118,unclear
LEX-FAOC007132,unclear
LEX-FAOC007134,unclear
LEX-FAOC007136,supply_side
LEX-FAOC007137,unclear
LEX-FAOC007140,unclear
LEX-FAOC007145,unclear
LEX-FAOC007148,demand_side
LEX-FAOC007157,supply_side
LEX-FAOC007169,supply_side
LEX-FAOC007184,supply_side
LEX-FAOC007185,supply_side
LEX-FAOC007194,supply_side
LEX-FAOC007195,supply_side
LEX-FAOC007196,supply_side
LEX-FAOC007208,demand_side
LEX-FAOC007209,unclear
LEX-FAOC007220,supply_side
LEX-FAOC007221,supply_side
LEX-FAOC007222,unclear
LEX-FAOC007241,unclear
LEX-FAOC007249,demand_side
LEX-FAOC007253,unclear
LEX-FAOC007260,supply_side
LEX-FAOC007277,supply_side
LEX-FAOC007278,supply_side
LEX-FAOC007283,demand_side
LEX-FAOC007284,unclear
LEX-FAOC007285,supply_side
LEX-FAOC007298,supply_side
LEX-FAOC007299,supply_side
LEX-FAOC007300,supply_side
LEX-FAOC007301,supply_side
LEX-FAOC007302,supply_side
LEX-FAOC007303,supply_side
LEX-FAOC007304,supply_side
LEX-FAOC007305,supply_side
LEX-FAOC007306,supply_side
LEX-FAOC007307,supply_side
LEX-FAOC007309,supply_side
LEX-FAOC007310,supply_side
LEX-FAOC007322,unclear
LEX-FAOC007327,supply_side
LEX-FAOC007328,supply_side
LEX-FAOC007331,supply_side
LEX-FAOC007339,demand_side
LEX-FAOC007340,supply_side
LEX-FAOC007357,supply_side
LEX-FAOC007415,supply_side
LEX-FAOC007426,supply_side
LEX-FAOC007428,supply_side
LEX-FAOC007470,supply_side
LEX-FAOC007476,unclear
LEX-FAOC007483,supply_side
LEX-FAOC007484,supply_side
LEX-FAOC007488,supply_side
LEX-FAOC007489,supply_side
LEX-FAOC007490,demand_side
LEX-FAOC007496,unclear
LEX-FAOC007501,unclear
LEX-FAOC007513,unclear
LEX-FAOC007521,unclear
LEX-FAOC007523,supply_side
LEX-FAOC007525,unclear
LEX-FAOC007559,unclear
LEX-FAOC007565,supply_side
LEX-FAOC007568,supply_side
LEX-FAOC007572,supply_side
LEX-FAOC007578,supply_side
LEX-FAOC007588,supply_side
LEX-FAOC007601,unclear
LEX-FAOC007604,unclear
LEX-FAOC007608,supply_side
LEX-FAOC007621,supply_side
LEX-FAOC007674,unclear
LEX-FAOC007675,demand_side
LEX-FAOC007676,supply_side
LEX-FAOC007686,unclear
LEX-FAOC007691,unclear
LEX-FAOC007693,supply_side
LEX-FAOC007697,unclear
LEX-FAOC007698,demand_side
LEX-FAOC007699,supply_side
LEX-FAOC007714,demand_side
LEX-FAOC007715,supply_side
LEX-FAOC007747,supply_side
LEX-FAOC007748,supply_side
LEX-FAOC007790,supply_side
LEX-FAOC007794,unclear
LEX-FAOC007847,demand_side
LEX-FAOC007848,supply_side
LEX-FAOC007852,unclear
LEX-FAOC007863,supply_side
LEX-FAOC007864,supply_side
LEX-FAOC007867,unclear
LEX-FAOC007912,supply_side
