frequency,donor_spec,method,att,se,ci95_lb,ci95_ub,chosen_lags,n_countries,n_controls,n_obs,rc,covariates
annual,oecd,sdid,.31675,.62223208,-.90280253,1.5363024,12,37,36,296,0,lag1_ln lag2_ln lag3_ln lag4_ln lag5_ln lag6_ln lag7_ln lag8_ln lag9_ln lag10_ln lag11_ln lag12_ln
annual,oecd,sc,-.0113782,.51915908,-1.0289114,1.0061549,12,37,36,296,0,
annual,oecd_exclshock,sdid,.2639265,.63870561,-.98791349,1.5157665,12,32,31,256,0,lag1_ln lag2_ln lag3_ln lag4_ln lag5_ln lag6_ln lag7_ln lag8_ln lag9_ln lag10_ln lag11_ln lag12_ln
annual,oecd_exclshock,sc,-.0221732,.54639202,-1.0930818,1.0487355,12,32,31,256,0,
annual,world,sdid,.1653625,.52638268,-.86632866,1.1970537,12,165,164,1320,0,lag1_ln lag2_ln lag3_ln lag4_ln lag5_ln lag6_ln lag7_ln lag8_ln lag9_ln lag10_ln lag11_ln lag12_ln
annual,world,sc,.3007818,.60856402,-.89198172,1.4935453,12,165,164,1320,0,
annual,world_exclshock,sdid,.1395553,.4920285,-.82480282,1.1039134,12,160,159,1280,0,lag1_ln lag2_ln lag3_ln lag4_ln lag5_ln lag6_ln lag7_ln lag8_ln lag9_ln lag10_ln lag11_ln lag12_ln
annual,world_exclshock,sc,.3007816,.52593821,-.73003834,1.3316015,12,160,159,1280,0,
quarterly,oecd,sdid,.3650482,.273413,-.17083143,.90092784,12,36,35,864,0,lag1_ln lag2_ln lag3_ln lag4_ln lag5_ln lag6_ln lag7_ln lag8_ln lag9_ln lag10_ln lag11_ln lag12_ln
quarterly,oecd,sc,.2836434,.27772191,-.26068151,.8279683,12,36,35,864,0,
quarterly,oecd_exclshock,sdid,.3329331,.2905339,-.23650289,.90236908,12,31,30,744,0,lag1_ln lag2_ln lag3_ln lag4_ln lag5_ln lag6_ln lag7_ln lag8_ln lag9_ln lag10_ln lag11_ln lag12_ln
quarterly,oecd_exclshock,sc,.2836421,.27144951,-.24838914,.81567335,12,31,30,744,0,
quarterly,world,sdid,.4105607,.22976381,-.039768074,.86088949,12,157,156,3768,0,lag1_ln lag2_ln lag3_ln lag4_ln lag5_ln lag6_ln lag7_ln lag8_ln lag9_ln lag10_ln lag11_ln lag12_ln
quarterly,world,sc,.2823403,.29860339,-.30291161,.86759222,12,157,156,3768,0,
quarterly,world_exclshock,sdid,.3935096,.25629279,-.10881506,.89583427,12,152,151,3648,0,lag1_ln lag2_ln lag3_ln lag4_ln lag5_ln lag6_ln lag7_ln lag8_ln lag9_ln lag10_ln lag11_ln lag12_ln
quarterly,world_exclshock,sc,.2823403,.3277621,-.36006162,.92474222,12,152,151,3648,0,
