organization,rel_time,beta,se,ci95_lb,ci95_ub,side
eu,-5,-.0189579067308025,.0138903,-.046182394,.0082665812,pre
eu,-4,-.003394364463723,.019224497,-.041073684,.034284953,pre
eu,-3,.0027725813759786,.012805287,-.02232532,.027870484,pre
eu,-2,-.0206841871493369,.012529143,-.045240857,.0038724826,pre
eu,0,.0032676602482505,.010541704,-.017393699,.023929019,post
eu,1,.0162339816277202,.011397419,-.0061045503,.038572513,post
eu,2,-.0161053834028414,.013092194,-.041765612,.0095548453,post
eu,3,-.0062170076425927,.013429996,-.032539316,.0201053,post
eu,4,-.0114884297311492,.0097390665,-.03057665,.0075997901,post
eu,5,-.002808703428066,.014083045,-.030410964,.024793556,post
oecd,-5,.0424188608970645,.043428551,-.042699534,.12753725,pre
oecd,-4,.0266181129445619,.021912381,-.016329363,.069565587,pre
oecd,-3,.0208277005270639,.031555895,-.041020714,.082676113,pre
oecd,-2,.0175066017968398,.0092001893,-.00052543695,.03553864,pre
oecd,0,-.001431708643409,.018785253,-.03825013,.035386711,post
oecd,1,.0479618531944726,.029180283,-.0092304489,.10515416,post
oecd,2,-.0157583548641965,.02148035,-.057859067,.026342357,post
oecd,3,-.0172298786499773,.018230647,-.05296129,.018501533,post
oecd,4,-.0047058796707965,.03086298,-.065196209,.055784449,post
oecd,5,.0232730753210258,.03468122,-.044700868,.091247015,post
