outcome,side,organization,rel_time,beta,se,ci95_lb,ci95_ub,period
policy_count,demand_side,eu,-10,.0663227647850353,1.1881094,-2.2623289,2.3949745,pre
policy_count,demand_side,eu,-9,3.025708547281377,2.0545628,-1.0011604,7.0525775,pre
policy_count,demand_side,eu,-8,1.170845978144748,.46761921,.25432917,2.0873628,pre
policy_count,demand_side,eu,-7,-1.903670457713141,.44900164,-2.7836976,-1.0236434,pre
policy_count,demand_side,eu,-6,2.382833717101569,.46132722,1.4786489,3.2870185,pre
policy_count,demand_side,eu,-5,3.401885828784747,1.7979122,-.12195744,6.9257293,pre
policy_count,demand_side,eu,-4,3.952471886714905,2.0775967,-.11954294,8.0244865,pre
policy_count,demand_side,eu,-3,4.902814120222456,1.695781,1.5791445,8.2264833,pre
policy_count,demand_side,eu,-2,4.062051653203266,1.4821815,1.1570293,6.9670739,pre
policy_count,demand_side,eu,0,5.764322088372549,2.0202892,1.8046283,9.7240162,post
policy_count,demand_side,eu,1,2.302589874521902,1.2023754,-.054022562,4.6592021,post
policy_count,demand_side,eu,2,.4294776092503892,.33129802,-.21985461,1.0788099,post
policy_count,demand_side,eu,3,4.010181086512372,1.8778838,.32959655,7.6907659,post
policy_count,demand_side,eu,4,.5379436147381114,.35234809,-.15264596,1.2285331,post
policy_count,demand_side,eu,5,-.1212413895001555,.90915215,-1.9031469,1.6606641,post
policy_count,demand_side,eu,6,3.81137791321783,1.2984467,1.2664692,6.3562865,post
policy_count,demand_side,eu,7,-1.395600410853546,.61897129,-2.6087618,-.18243897,post
policy_count,demand_side,eu,8,-1.263115128876827,.56396669,-2.3684695,-.15776071,post
policy_count,demand_side,eu,9,.9952063629227101,1.0455962,-1.0541246,3.0445373,post
policy_count,demand_side,eu,10,-.9767073623193596,.57670277,-2.107024,.15360929,post
policy_count,demand_side,oecd,-10,-.7551610406328048,1.0173193,-2.7490704,1.2387483,pre
policy_count,demand_side,oecd,-9,-1.590884687696108,.67480135,-2.913471,-.26829839,pre
policy_count,demand_side,oecd,-8,-.6829137549775905,1.1164546,-2.8711245,1.5052971,pre
policy_count,demand_side,oecd,-7,-3.010624144720261,1.2647859,-5.4895587,-.53168935,pre
policy_count,demand_side,oecd,-6,-1.096271904877585,1.1811013,-3.4111879,1.2186441,pre
policy_count,demand_side,oecd,-5,-3.389479726743093,1.0160049,-5.3808126,-1.3981467,pre
policy_count,demand_side,oecd,-4,-1.731124014540255,1.3905796,-4.4566097,.99436194,pre
policy_count,demand_side,oecd,-3,-.3297088426577804,.83665133,-1.9695153,1.3100977,pre
policy_count,demand_side,oecd,-2,-1.704512606013093,1.4997908,-4.6440482,1.2350233,pre
policy_count,demand_side,oecd,0,-.2762619471772408,2.5321722,-5.2392282,4.6867042,post
policy_count,demand_side,oecd,1,-1.563985227828261,1.883907,-5.2563748,2.1284046,post
policy_count,demand_side,oecd,2,-1.270050226952204,2.1107543,-5.4070525,2.8669522,post
policy_count,demand_side,oecd,3,-.2881739484080256,3.0225544,-6.2122722,5.6359239,post
