outcome,side,organization,beta,se,ci95_lb,ci95_ub,pretrend_pvalue,n_countries,n_treated,n_controls,N,pre_window,post_window,min_pre,min_post,year_min,year_max
policy_count,supply_side,oecd,-2.093692957966234,.915865,-3.8887553,-.29863051,.00010823963,160,7,153,3910,10,10,4,4,1951,2031
policy_count,supply_side,eu,-.9942836158303684,1.2372797,-3.4193072,1.43074,.25736701,180,18,162,4526,10,10,4,4,1948,2023
strategy_fs,supply_side,oecd,-.0275165783228322,.010037814,-.047190335,-.0078428239,.00012221618,160,7,153,3910,10,10,4,4,1951,2031
strategy_fs,supply_side,eu,-.0133768983705305,.0084964698,-.030029675,.0032758773,.094635524,180,18,162,4526,10,10,4,4,1948,2023
strategy_nut,supply_side,oecd,-.0256949875024601,.0098600993,-.045020428,-.0063695479,1.7270669e-07,160,7,153,3910,10,10,4,4,1951,2031
strategy_nut,supply_side,eu,-.0023041917213759,.0069207819,-.015868675,.011260292,.42958257,180,18,162,4526,10,10,4,4,1948,2023
policy_count,demand_side,oecd,.6707168181329985,1.1675107,-1.6175621,2.9589958,7.9753191e-09,90,6,84,1727,10,10,4,4,1951,2031
policy_count,demand_side,eu,-1.406484339242996,.43439248,-2.2578781,-.55509073,2.1077553e-32,95,5,90,1831,10,10,4,4,1948,2023
strategy_fs,demand_side,oecd,.0196958937984767,.012792528,-.0053770007,.044768788,3.2204541e-28,90,6,84,1727,10,10,4,4,1951,2031
strategy_fs,demand_side,eu,.0023540968834415,.0244318,-.045531351,.050239548,.00033096026,95,5,90,1831,10,10,4,4,1948,2023
strategy_nut,demand_side,oecd,.0094910445568084,.016552702,-.022951657,.041933745,5.9461427e-16,90,6,84,1727,10,10,4,4,1951,2031
strategy_nut,demand_side,eu,-.00286209787812,.024616782,-.051110104,.045385908,2.5792338e-06,95,5,90,1831,10,10,4,4,1948,2023
