outcome,organization,rel_time,beta,se,ci95_lb,ci95_ub,side
policy_count,eu,-5,.2060244786510162,2.6619921,-5.011384,5.4234328,pre
policy_count,eu,-4,1.153851943931178,3.3034413,-5.3207741,7.6284781,pre
policy_count,eu,-3,2.948812778256826,3.4971435,-3.9054625,9.8030882,pre
policy_count,eu,-2,1.916659971377309,3.0456698,-4.052743,7.8860631,pre
policy_count,eu,0,4.452692926318855,3.4515665,-2.312253,11.217639,post
policy_count,eu,1,-.7415779249712913,1.7423371,-4.156496,2.6733401,post
policy_count,eu,2,-.9257209713065995,1.7864138,-4.4270277,2.5755858,post
policy_count,eu,3,-.8515030270327771,1.8674762,-4.5116892,2.8086832,post
policy_count,eu,4,-.1434389151610246,1.6595032,-3.3960054,3.1091278,post
policy_count,eu,5,.1922404202394012,1.9152695,-3.5616188,3.9460998,post
policy_count,eu,6,-.8146780846893767,1.6922355,-4.1313987,2.5020425,post
policy_count,eu,7,-.1908555642056914,1.88086,-3.8772733,3.4955623,post
policy_count,eu,8,-.8189587756276701,1.7730128,-4.2940001,2.6560824,post
policy_count,eu,9,-1.455711156235681,1.6572366,-4.703835,1.7924129,post
policy_count,eu,10,-1.420783842631154,1.4740999,-4.3099666,1.4683988,post
policy_count,oecd,-5,-3.260404397042593,1.0923231,-5.4013186,-1.1194905,pre
policy_count,oecd,-4,-3.052213387114313,1.2203127,-5.4439821,-.66044444,pre
policy_count,oecd,-3,-3.558428706898833,1.0046589,-5.527524,-1.5893333,pre
policy_count,oecd,-2,-3.580145663179347,.95643908,-5.4547319,-1.7055595,pre
policy_count,oecd,0,-2.953237019921762,1.2193546,-5.3431282,-.56334591,post
policy_count,oecd,1,-3.02813223092535,1.2004492,-5.3809695,-.67529511,post
policy_count,oecd,2,-3.276338273454512,1.0842468,-5.401423,-1.1512536,post
policy_count,oecd,3,-2.684328332969776,1.2634037,-5.1605539,-.20810263,post
policy_count,oecd,4,-4.251281926600927,.85522652,-5.927495,-2.5750687,post
