frequency,donor_spec,method,att,se,ci95_lb,ci95_ub,chosen_lags,n_countries,n_controls,n_obs,rc,covariates
annual,oecd,sdid,-.1214712,.62179321,-1.3401635,1.0972211,12,37,36,296,0,lag1_lncount lag2_lncount lag3_lncount lag4_lncount lag5_lncount lag6_lncount lag7_lncount lag8_lncount lag9_lncount lag
annual,oecd,sc,.0656268,.51583898,-.94539905,1.0766526,12,37,36,296,0,
annual,oecd_exclshock,sdid,-.2587257,.61774391,-1.4694815,.95203012,12,32,31,256,0,lag1_lncount lag2_lncount lag3_lncount lag4_lncount lag5_lncount lag6_lncount lag7_lncount lag8_lncount lag9_lncount lag
annual,oecd_exclshock,sc,.0071071,.48368689,-.94090182,.95511603,12,32,31,256,0,
annual,world,sdid,-.6050866,.54094869,-1.6653266,.45515338,12,179,178,1432,0,lag1_lncount lag2_lncount lag3_lncount lag4_lncount lag5_lncount lag6_lncount lag7_lncount lag8_lncount lag9_lncount lag
annual,world,sc,-.6767599,.61235899,-1.8769615,.52344167,12,179,178,1432,0,
annual,world_exclshock,sdid,-.7066934,.52526861,-1.7362009,.32281414,12,174,173,1392,0,lag1_lncount lag2_lncount lag3_lncount lag4_lncount lag5_lncount lag6_lncount lag7_lncount lag8_lncount lag9_lncount lag
annual,world_exclshock,sc,-.7243726,.59824258,-1.8969065,.44816136,12,174,173,1392,0,
quarterly,oecd,sdid,.1521255,.26496539,-.36719716,.67144811,12,36,35,864,0,lag1_lncount lag2_lncount lag3_lncount lag4_lncount lag5_lncount lag6_lncount lag7_lncount lag8_lncount lag9_lncount lag
quarterly,oecd,sc,.2808229,.26867869,-.24577768,.80742347,12,36,35,864,0,
quarterly,oecd_exclshock,sdid,.1531197,.27855739,-.39284277,.6990822,12,31,30,744,0,lag1_lncount lag2_lncount lag3_lncount lag4_lncount lag5_lncount lag6_lncount lag7_lncount lag8_lncount lag9_lncount lag
quarterly,oecd_exclshock,sc,.2808254,.283649,-.27511641,.8367672,12,31,30,744,0,
quarterly,world,sdid,.2964565,.2686494,-.23008665,.82299966,12,170,169,4080,0,lag1_lncount lag2_lncount lag3_lncount lag4_lncount lag5_lncount lag6_lncount lag7_lncount lag8_lncount lag9_lncount lag
quarterly,world,sc,.2792774,.3647162,-.43555322,.99410802,12,170,169,4080,0,
quarterly,world_exclshock,sdid,.2963228,.2623004,-.21777654,.81042212,12,165,164,3960,0,lag1_lncount lag2_lncount lag3_lncount lag4_lncount lag5_lncount lag6_lncount lag7_lncount lag8_lncount lag9_lncount lag
quarterly,world_exclshock,sc,.279355,.34928131,-.40522376,.96393377,12,165,164,3960,0,
